Comment,Designator,Footprint,LCSC,Quantity
Pad_gge255906,Pad_gge255906,Pad_gge255906,,1
Pad_gge257249,Pad_gge257249,Pad_gge257249,,1
4.7uF,C2,C0402,,1
100nF,C223,C0402,,1
100nF,C226,C0402,,1
10nF,C229,C0402,,1
100nF,C232,C0402,,1
100pF,C233,C0402,,1
100pF,C4,C0402,,1
10nF,C5,C0402,,1
10nF,C215,C0402,,1
100pF,C216,C0402,,1
100pF,C217,C0402,,1
10nF,C218,C0402,,1
10nF,C219,C0402,,1
100pF,C220,C0402,,1
100pF,C221,C0402,,1
10nF,C222,C0402,,1
3.3Ω,R111,R0402,,1
3.3Ω,R112,R0402,,1
3.3Ω,R113,R0402,,1
3.3Ω,R114,R0402,,1
10kΩ,R6,R0402,,1
15nF,C7,C0402,,1
NC,C13,C0402,,1
47nH,L6,IND-SMD_L1.6-W0.8-RD,,1
6.8kΩ,R8,R0805,,1
MGA-68563,U4,SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,,1
NC,C3,C0402,,1
NC,C12,C0402,,1
MMZ1005B601CT000,U2,L0402,,1
68pF,C26,C0402,,1
26MHz,X2,OSC-SMD_4P-L3.2-W2.5-BL,,1
BK4819QN32SC,BK4819,QFN-32_L4.0-W4.0-P0.40-TL-EP2.9,,1
1pF,C25,C0402,,1
100pF,C209,C0402,,1
100pF,C210,C0402,,1
100pF,C211,C0402,,1
100pF,C212,C0402,,1
100pF,C213,C0402,,1
10nF,C224,C0402,,1
3.3nF,C225,C0603,,1
NC,C228,C0402,,1
10nF,C254,C0402,,1
NC,L45,L0402,,1
NC,L46,L0402,,1
PE4259-63,PE4259,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BL,,1
10kΩ,R1,R0402,,1
51Ω,R12,R0603,,1
51Ω,R108,R0603,,1
3.3kΩ,R115,R0402,,1
1nF,C10,C0402,,1
1nF,C11,C0402,,1
10kΩ,R7,R0402,,1
22nF,C8,C0402,,1
10nF,C9,C0402,,1
10pF,C6,C0402,,1
47nH,L2,IND-SMD_L1.6-W0.8-RD,,1
MMZ1005B601CT000,U1,L0402,,1
10uF,C1,C0402,,1
4.7nF,C20,C0402,,1
4.7nF,C22,C0402,,1
6.8pF,C28,C0603,,1
2pF,C29,C0402,,1
1nF,C30,C0402,,1
6.8pF,C31,C0603,,1
2pF,C32,C0402,,1
2.7pF,C33,C0603,,1
3.9pF,C34,C0402,,1
1nF,C35,C0402,,1
3.3pF,C41,C0603,,1
1nF,C54,C0402,,1
4.7pF,C55,C0402,,1
10pF,C58,C0402,,1
12pF,C59,C0402,,1
2.2pF,C60,C0402,,1
1.8pF,C61,C0603,,1
4.7pF,C103,C0402,,1
100pF,C105,C0402,,1
5.6pF,C129,C0402,,1
1uF,C160,C0402,,1
100nF,C161,C0402,,1
100nF,C163,C0402,,1
10nF,C235,C0402,,1
100nF,C236,C0402,,1
1nF,C237,C0402,,1
100pF,C238,C0402,,1
4.7pF,C239,C0402,,1
2pF,C240,C0402,,1
2pF,C241,C0402,,1
1pF,C242,C0402,,1
1.5pF,C243,C0402,,1
100pF,C244,C0402,,1
1nF,C245,C0402,,1
10nF,C246,C0402,,1
6.8nH,L1,IND-SMD_L1.6-W0.8-1,,1
0.35*1.4*4T,L3,IND-SMD_L2.3-W1.7-1,,1
0.4*1.4*3T,L4,IND-SMD_L2.3-W1.7-1,,1
0.35*1.4*4T,L5,IND-SMD_L2.3-W1.7-1,,1
6.8nH,L7,IND-SMD_L1.0-W0.5-2,,1
6.8nH,L8,IND-SMD_L1.0-W0.5-2,,1
15nH,L14,IND-SMD_L1.0-W0.6,,1
18nH,L15,IND-SMD_L1.6-W0.8-RD,,1
18nH,L54,IND-SMD_L1.6-W0.8-RD,,1
100Ω,R26,R0402,,1
100Ω,R27,R0402,,1
100Ω,R28,R0402,,1
220Ω,R31,R0603,,1
220Ω,R32,R0603,,1
10kΩ,R116,R0402,,1
10Ω,R117,R0402,,1
TPLP5907MFX-3.3,U19,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,,1
CMX994E1,U23,CMX994E1,,1
MMZ1005B601CT000,U39,L0402,,1
RFSW8000TR7,U44,DFN-8_L2.0-W2.0-P0.50-BL-EP,,1
0Ω,R2,R0402,,1
0Ω,R3,R0402,,1
0Ω,R4,R0402,,1
0Ω,R5,R0402,,1
2.54-2*7,JP3,HDR-TH_14P-P2.54-V-F-R2-C7-S2.54,,1
20 PIN,JP2,HDR-TH_20P-P2.54-V-M-R2-C10-S2.54,,1
PZ2.54-2*15,JP1,HDR-TH_30P-P2.54-V-M-R2-C15-S2.54-2,,1
Pad_gge111627,Pad_gge111627,Pad_gge111627,,1
Pad_gge189569,Pad_gge189569,Pad_gge189569,,1
Pad_gge290440,Pad_gge290440,Pad_gge290440,,1
Pad_gge303765,Pad_gge303765,Pad_gge303765,,1
